area_code,cell_code,X,Y,Z,Status
F0,F01-17-01,9,1,1,enable
F0,F01-17-02,9,1,2,enable
F0,F01-17-03,9,1,3,enable
F0,F01-18-01,9,2,1,enable
F0,F01-18-02,9,2,2,enable
F0,F01-18-03,9,2,3,enable
F0,F01-19-01,10,1,1,enable
F0,F01-19-02,10,1,2,enable
F0,F01-19-03,10,1,3,enable
F0,F01-20-01,10,2,1,enable
F0,F01-20-02,10,2,2,enable
F0,F01-20-03,10,2,3,enable
F0,F01-21-01,11,1,1,enable
F0,F01-21-02,11,1,2,enable
F0,F01-21-03,11,1,3,enable
F0,F01-22-01,11,2,1,enable
F0,F01-22-02,11,2,2,enable
F0,F01-22-03,11,2,3,enable
F0,F01-23-01,12,1,1,enable
F0,F01-23-02,12,1,2,enable
F0,F01-23-03,12,1,3,enable
F0,F01-24-01,12,2,1,enable
F0,F01-24-02,12,2,2,enable
F0,F01-24-03,12,2,3,enable
F0,F01-25-01,13,1,1,enable
F0,F01-25-02,13,1,2,enable
F0,F01-25-03,13,1,3,enable
F0,F01-26-01,13,2,1,enable
F0,F01-26-02,13,2,2,enable
F0,F01-26-03,13,2,3,enable
F0,F01-27-01,14,1,1,enable
F0,F01-27-02,14,1,2,enable
F0,F01-27-03,14,1,3,enable
F0,F01-28-01,14,2,1,enable
F0,F01-28-02,14,2,2,enable
F0,F01-28-03,14,2,3,enable
F0,F02-01-01,1,3,1,enable
F0,F02-01-02,1,3,2,enable
F0,F02-02-01,1,4,1,enable
F0,F02-02-02,1,4,2,enable
F0,F02-03-01,2,3,1,enable
F0,F02-03-02,2,3,2,enable
F0,F02-04-01,2,4,1,enable
F0,F02-04-02,2,4,2,enable
F0,F02-05-01,3,3,1,enable
F0,F02-05-02,3,3,2,enable
F0,F02-06-01,3,4,1,enable
F0,F02-06-02,3,4,2,enable
F0,F02-07-01,4,3,1,enable
F0,F02-07-02,4,3,2,enable
F0,F02-08-01,4,4,1,enable
F0,F02-08-02,4,4,2,enable
F0,F02-09-01,5,3,1,enable
F0,F02-09-02,5,3,2,enable
F0,F02-10-01,5,4,1,enable
F0,F02-10-02,5,4,2,enable
F0,F02-11-01,6,3,1,enable
F0,F02-11-02,6,3,2,enable
F0,F02-12-01,6,4,1,enable
F0,F02-12-02,6,4,2,enable
F0,F02-13-01,7,3,1,enable
F0,F02-13-02,7,3,2,enable
F0,F02-14-01,7,4,1,enable
F0,F02-14-02,7,4,2,enable
F0,F02-15-01,8,3,1,enable
F0,F02-15-02,8,3,2,enable
F0,F02-16-01,8,4,1,enable
F0,F02-16-02,8,4,2,enable
F0,F02-17-01,9,3,1,enable
F0,F02-17-02,9,3,2,enable
F0,F02-18-01,9,4,1,enable
F0,F02-18-02,9,4,2,enable
F0,F02-19-01,10,3,1,enable
F0,F02-19-02,10,3,2,enable
F0,F02-20-01,10,4,1,enable
F0,F02-20-02,10,4,2,enable
F0,F02-21-01,11,3,1,enable
F0,F02-21-02,11,3,2,enable
F0,F02-22-01,11,4,1,enable
F0,F02-22-02,11,4,2,enable
F0,F02-23-01,12,3,1,enable
F0,F02-23-02,12,3,2,enable
F0,F02-24-01,12,4,1,enable
F0,F02-24-02,12,4,2,enable
F0,F02-25-01,13,3,1,enable
F0,F02-25-02,13,3,2,enable
F0,F02-26-01,13,4,1,enable
F0,F02-26-02,13,4,2,enable
F0,F02-27-01,14,3,1,enable
F0,F02-27-02,14,3,2,enable
F0,F02-28-01,14,4,1,enable
F0,F02-28-02,14,4,2,enable
F0,F03-01-01,1,5,1,enable
F0,F03-01-02,1,5,2,enable
F0,F03-02-01,1,6,1,enable
F0,F03-02-02,1,6,2,enable
F0,F03-02-03,1,6,3,enable
F0,F03-03-01,2,5,1,enable
F0,F03-03-02,2,5,2,enable
F0,F03-03-03,2,5,3,enable
F0,F03-04-01,2,6,1,enable
F0,F03-04-02,2,6,2,enable
F0,F03-04-03,2,6,3,enable
F0,F03-05-01,3,5,1,enable
F0,F03-05-02,3,5,2,enable
F0,F03-05-03,3,5,3,enable
F0,F03-06-01,3,6,1,enable
F0,F03-06-02,3,6,2,enable
F0,F03-06-03,3,6,3,enable
F0,F03-07-01,4,5,1,enable
F0,F03-07-02,4,5,2,enable
F0,F03-07-03,4,5,3,enable
F0,F03-08-01,4,6,1,enable
F0,F03-08-02,4,6,2,enable
F0,F03-08-03,4,6,3,enable
F0,F03-09-01,5,5,1,enable
F0,F03-09-02,5,5,2,enable
F0,F03-09-03,5,5,3,enable
F0,F03-10-01,5,6,1,enable
F0,F03-10-02,5,6,2,enable
F0,F03-10-03,5,6,3,enable
F0,F03-11-01,6,5,1,enable
F0,F03-11-02,6,5,2,enable
F0,F03-11-03,6,5,3,enable
F0,F03-12-01,6,6,1,enable
F0,F03-12-02,6,6,2,enable
F0,F03-12-03,6,6,3,enable
F0,F03-13-01,7,5,1,enable
F0,F03-13-02,7,5,2,enable
F0,F03-13-03,7,5,3,enable
F0,F03-14-01,7,6,1,enable
F0,F03-14-02,7,6,2,enable
F0,F03-14-03,7,6,3,enable
F0,F03-15-01,8,5,1,enable
F0,F03-15-02,8,5,2,enable
F0,F03-15-03,8,5,3,enable
F0,F03-16-01,8,6,1,enable
F0,F03-16-02,8,6,2,enable
F0,F03-16-03,8,6,3,enable
F0,F03-17-01,9,5,1,enable
F0,F03-17-02,9,5,2,enable
F0,F03-17-03,9,5,3,enable
F0,F03-18-01,9,6,1,enable
F0,F03-18-02,9,6,2,enable
F0,F03-18-03,9,6,3,enable
F0,F03-19-01,10,5,1,enable
F0,F03-19-02,10,5,2,enable
F0,F03-19-03,10,5,3,enable
F0,F03-20-01,10,6,1,enable
F0,F03-20-02,10,6,2,enable
F0,F03-20-03,10,6,3,enable
F0,F03-21-01,11,5,1,enable
F0,F03-21-02,11,5,2,enable
F0,F03-21-03,11,5,3,enable
F0,F03-22-01,11,6,1,enable
F0,F03-22-02,11,6,2,enable
F0,F03-22-03,11,6,3,enable
F0,F03-23-01,12,5,1,enable
F0,F03-23-02,12,5,2,enable
F0,F03-23-03,12,5,3,enable
F0,F03-24-01,12,6,1,enable
F0,F03-24-02,12,6,2,enable
F0,F03-24-03,12,6,3,enable
F0,F03-25-01,13,5,1,enable
F0,F03-25-02,13,5,2,enable
F0,F03-25-03,13,5,3,enable
F0,F03-26-01,13,6,1,enable
F0,F03-26-02,13,6,2,enable
F0,F03-26-03,13,6,3,enable
F0,F03-27-01,14,5,1,enable
F0,F03-27-02,14,5,2,enable
F0,F03-27-03,14,5,3,enable
F0,F03-28-01,14,6,1,enable
F0,F03-28-02,14,6,2,enable
F0,F03-28-03,14,6,3,enable
F0,F04-02-01,1,8,1,enable
F0,F04-02-02,1,8,2,enable
F0,F04-04-01,2,8,1,enable
F0,F04-04-02,2,8,2,enable
F0,F04-06-01,3,8,1,enable
F0,F04-06-02,3,8,2,enable
F0,F04-06-03,3,8,3,enable
F0,F04-08-01,4,8,1,enable
F0,F04-08-02,4,8,2,enable
F0,F04-08-03,4,8,3,enable
F0,F04-10-01,5,8,1,enable
F0,F04-10-02,5,8,2,enable
F0,F04-10-03,5,8,3,enable
F0,F04-12-01,6,8,1,enable
F0,F04-12-02,6,8,2,enable
F0,F04-12-03,6,8,3,enable
